code_departement;nom_departement;annee_semaine;population_totale;population_plus_65_ans;pct_plus_65_ans;densite_population;couv_vacc_grippe_an_passe;cas_urgences_semaine;cas_sos_medecins_semaine;total_cas_semaine;tendance_evolution_cas
08;Ardennes;2023-S12;270000;56700;0.21;52;0.611;338.40947547;0.0;338.40947547;-0.6934010152292083
08;Ardennes;2023-S13;270000;56700;0.21;52;0.611;522.34474753;0.0;522.34474753;0.5435287289297719
08;Ardennes;2023-S14;270000;56700;0.21;52;0.611;648.29821718;0.0;648.29821718;0.2411309202315013
08;Ardennes;2023-S15;270000;56700;0.21;52;0.611;443.2132964;0.0;443.2132964;-0.3163434903031026
08;Ardennes;2023-S16;270000;56700;0.21;52;0.611;179.85611511;0.0;179.85611511;-0.5941996402840769
08;Ardennes;2023-S17;270000;56700;0.21;52;0.611;179.85611511;0.0;179.85611511;0.0
08;Ardennes;2023-S18;270000;56700;0.21;52;0.611;168.35016835;0.0;168.35016835;-0.06397306398485791
08;Ardennes;2023-S19;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2023-S20;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2023-S21;270000;56700;0.21;52;0.611;53.078556263;0.0;53.078556263;0.0
08;Ardennes;2023-S22;270000;56700;0.21;52;0.611;104.27528676;0.0;104.27528676;0.9645464025683798
08;Ardennes;2023-S23;270000;56700;0.21;52;0.611;50.787201625;0.0;50.787201625;-0.5129507364300822
08;Ardennes;2023-S24;270000;56700;0.21;52;0.611;50.684237202;0.0;50.684237202;-0.0020273694888776634
08;Ardennes;2023-S25;270000;56700;0.21;52;0.611;50.968399592;0.0;50.968399592;0.005606523954725429
08;Ardennes;2023-S26;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2023-S27;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2023-S28;270000;56700;0.21;52;0.611;50.735667174;0.0;50.735667174;0.0
08;Ardennes;2023-S29;270000;56700;0.21;52;0.611;113.76564278;0.0;113.76564278;1.2423208191948314
08;Ardennes;2023-S30;270000;56700;0.21;52;0.611;59.523809524;0.0;59.523809524;-0.47678571430298033
08;Ardennes;2023-S31;270000;56700;0.21;52;0.611;65.487884741;0.0;65.487884741;0.1001964636452794
08;Ardennes;2023-S32;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2023-S33;270000;56700;0.21;52;0.611;110.31439603;0.0;110.31439603;0.0
08;Ardennes;2023-S34;270000;56700;0.21;52;0.611;110.25358324;0.0;110.25358324;-0.0005512679413434119
08;Ardennes;2023-S35;270000;56700;0.21;52;0.611;120.84592145;0.0;120.84592145;0.09607250756596823
08;Ardennes;2023-S36;270000;56700;0.21;52;0.611;109.40919037;0.0;109.40919037;-0.0946389496871183
08;Ardennes;2023-S37;270000;56700;0.21;52;0.611;271.88689505;0.0;271.88689505;1.485046220802228
08;Ardennes;2023-S38;270000;56700;0.21;52;0.611;53.850296177;0.0;53.850296177;-0.8019386106597859
08;Ardennes;2023-S39;270000;56700;0.21;52;0.611;52.002080083;0.0;52.002080083;-0.034321372865343425
08;Ardennes;2023-S40;270000;56700;0.21;52;0.611;158.14443859;0.0;158.14443859;2.0411175540975903
08;Ardennes;2023-S41;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2023-S42;270000;56700;0.21;52;0.611;110.19283747;0.0;110.19283747;0.0
08;Ardennes;2023-S43;270000;56700;0.21;52;0.611;59.523809524;0.0;59.523809524;-0.4598214285914422
08;Ardennes;2023-S44;270000;56700;0.21;52;0.611;230.94688222;0.0;230.94688222;2.879907621283584
08;Ardennes;2023-S45;270000;56700;0.21;52;0.611;160.59957173;0.0;160.59957173;-0.3046038544178619
08;Ardennes;2023-S46;270000;56700;0.21;52;0.611;54.854635217;0.0;54.854635217;-0.6584384713726285
08;Ardennes;2023-S47;270000;56700;0.21;52;0.611;418.84816754;0.0;418.84816754;6.635602094209074
08;Ardennes;2023-S48;270000;56700;0.21;52;0.611;108.93246187;0.0;108.93246187;-0.7399237472858301
08;Ardennes;2023-S49;270000;56700;0.21;52;0.611;425.30568846;0.0;425.30568846;2.9043062201932037
08;Ardennes;2023-S50;270000;56700;0.21;52;0.611;200.70245861;0.0;200.70245861;-0.5280983441892617
08;Ardennes;2023-S51;270000;56700;0.21;52;0.611;107.29613734;0.0;107.29613734;-0.4653969957164542
08;Ardennes;2023-S52;270000;56700;0.21;52;0.611;309.59752322;0.0;309.59752322;1.8854489163850083
08;Ardennes;2024-S01;270000;56700;0.21;52;0.611;885.93576966;0.0;885.93576966;1.8615725360000825
08;Ardennes;2024-S02;270000;56700;0.21;52;0.611;830.36773428;0.0;830.36773428;-0.06272241993494132
08;Ardennes;2024-S03;270000;56700;0.21;52;0.611;513.69863014;0.0;513.69863014;-0.381360078272525
08;Ardennes;2024-S04;270000;56700;0.21;52;0.611;1345.532831;0.0;1345.532831;1.6193039109979668
08;Ardennes;2024-S05;270000;56700;0.21;52;0.611;2047.4137931;0.0;2047.4137931;0.5216379310331374
08;Ardennes;2024-S06;270000;56700;0.21;52;0.611;2815.4327424;0.0;2815.4327424;0.37511662365873694
08;Ardennes;2024-S07;270000;56700;0.21;52;0.611;2281.7460317;0.0;2281.7460317;-0.18955761317354772
08;Ardennes;2024-S08;270000;56700;0.21;52;0.611;1323.0429989;0.0;1323.0429989;-0.42016202481821546
08;Ardennes;2024-S09;270000;56700;0.21;52;0.611;880.28169014;0.0;880.28169014;-0.33465375587045854
08;Ardennes;2024-S10;270000;56700;0.21;52;0.611;418.41004184;0.0;418.41004184;-0.5246861924693037
08;Ardennes;2024-S11;270000;56700;0.21;52;0.611;473.65304914;0.0;473.65304914;0.13203078744731683
08;Ardennes;2024-S12;270000;56700;0.21;52;0.611;292.05607477;0.0;292.05607477;-0.3833966121398798
08;Ardennes;2024-S13;270000;56700;0.21;52;0.611;395.03386005;0.0;395.03386005;0.3525959367943195
08;Ardennes;2024-S14;270000;56700;0.21;52;0.611;328.58707558;0.0;328.58707558;-0.1682052886848478
08;Ardennes;2024-S15;270000;56700;0.21;52;0.611;53.676865271;0.0;53.676865271;-0.8366434066943954
08;Ardennes;2024-S16;270000;56700;0.21;52;0.611;58.173356603;0.0;58.173356603;0.08376963351526649
08;Ardennes;2024-S17;270000;56700;0.21;52;0.611;62.073246431;0.0;62.073246431;0.06703910614294657
08;Ardennes;2024-S18;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2024-S19;270000;56700;0.21;52;0.611;113.37868481;0.0;113.37868481;0.0
08;Ardennes;2024-S20;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2024-S21;270000;56700;0.21;52;0.611;55.126791621;0.0;55.126791621;0.0
08;Ardennes;2024-S22;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2024-S23;270000;56700;0.21;52;0.611;273.22404372;0.0;273.22404372;0.0
08;Ardennes;2024-S24;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2024-S25;270000;56700;0.21;52;0.611;156.33142262;0.0;156.33142262;0.0
08;Ardennes;2024-S26;270000;56700;0.21;52;0.611;105.15247108;0.0;105.15247108;-0.3273746933423768
08;Ardennes;2024-S27;270000;56700;0.21;52;0.611;56.242969629;0.0;56.242969629;-0.46512935881259176
08;Ardennes;2024-S28;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2024-S29;270000;56700;0.21;52;0.611;112.61261261;0.0;112.61261261;0.0
08;Ardennes;2024-S30;270000;56700;0.21;52;0.611;57.339449541;0.0;57.339449541;-0.49082568806410715
08;Ardennes;2024-S31;270000;56700;0.21;52;0.611;58.513750731;0.0;58.513750731;0.0204798127537016
08;Ardennes;2024-S32;270000;56700;0.21;52;0.611;113.70096646;0.0;113.70096646;0.9431495168154101
08;Ardennes;2024-S33;270000;56700;0.21;52;0.611;168.44469399;0.0;168.44469399;0.48147108361879076
08;Ardennes;2024-S34;270000;56700;0.21;52;0.611;177.09563164;0.0;177.09563164;0.05135773318281893
08;Ardennes;2024-S35;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2024-S36;270000;56700;0.21;52;0.611;111.85682327;0.0;111.85682327;0.0
08;Ardennes;2024-S37;270000;56700;0.21;52;0.611;57.208237986;0.0;57.208237986;-0.4885583524224468
08;Ardennes;2024-S38;270000;56700;0.21;52;0.611;165.65433462;0.0;165.65433462;1.8956377691712671
08;Ardennes;2024-S39;270000;56700;0.21;52;0.611;116.6180758;0.0;116.6180758;-0.29601554907987104
08;Ardennes;2024-S40;270000;56700;0.21;52;0.611;395.92760181;0.0;395.92760181;2.395079185571676
08;Ardennes;2024-S41;270000;56700;0.21;52;0.611;225.47914318;0.0;225.47914318;-0.43050410693972224
08;Ardennes;2024-S42;270000;56700;0.21;52;0.611;228.05017104;0.0;228.05017104;0.01140250855906244
08;Ardennes;2024-S43;270000;56700;0.21;52;0.611;120.62726176;0.0;120.62726176;-0.47104945718790114
08;Ardennes;2024-S44;270000;56700;0.21;52;0.611;242.57125531;0.0;242.57125531;1.010915706539205
08;Ardennes;2024-S45;270000;56700;0.21;52;0.611;121.21212121;0.0;121.21212121;-0.5003030303195077
08;Ardennes;2024-S46;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2024-S47;270000;56700;0.21;52;0.611;235.15579071;0.0;235.15579071;0.0
08;Ardennes;2024-S48;270000;56700;0.21;52;0.611;475.62425684;0.0;475.62425684;1.0225921522236794
08;Ardennes;2024-S49;270000;56700;0.21;52;0.611;361.6636528;0.0;361.6636528;-0.23960216999263836
08;Ardennes;2024-S50;270000;56700;0.21;52;0.611;692.84064665;0.0;692.84064665;0.9157043880025757
